SCHOOL NAME,Enrollment (TA),# of students in school who reside in-area (RA),# of students in school who live OUTSIDE attendance area (ANR),# of students residing in attendance area who do NOT attend the school (RNA),"Total CPS students residing in attendance area (includes charters, does not include private) (TR)"
MJ BRIDGESCAPE ROSELAND,,,,,
PATHWAYS HS - AVONDALE,161,0,161,0,0
OMBUDSMAN #1,70,0,70,0,0
OMBUDSMAN #2,,,,,
OMBUDSMAN #3,,,,,
CAMELOT SAFE HS,16,0,16,0,0
MANDELA HS,115,0,115,0,0
HIRSCH HS,273,175,98,2545,2720
DYETT HS,83,38,45,502,540
TILDEN HS,345,215,130,2238,2453
CRANE HS,162,67,95,649,716
ROBESON HS,372,260,112,2410,2670
PHILLIPS HS,670,405,265,3468,3873
BOWEN HS,464,312,152,2546,2858
MANLEY HS,450,285,165,2256,2541
DOUGLASS HS,291,237,54,1698,1935
WELLS HS,596,167,429,1146,1313
ORR HS,647,515,132,3513,4028
FENGER HS,421,340,81,2012,2352
SOUTH SHORE - SCHOOL OF LEADERSHIP HS,134,71,63,416,487
HARLAN HS,918,463,455,2598,3061
MARSHALL HS,624,332,292,1851,2183
CVCA HS,990,237,753,1303,1540
LV - INFINITY HS,411,324,87,1648,1972
CORLISS HS,497,296,201,1495,1791
RICHARDS HS,385,219,166,1105,1324
GAGE PARK HS,613,473,140,2167,2640
CLEMENTE HS,701,434,267,1898,2332
HOPE HS,391,179,212,715,894
HARPER HS,482,281,201,1120,1401
SOUTH SHORE  INTL HS,572,123,449,472,595
HYDE PARK HS,1001,506,495,1810,2316
BOGAN HS,1115,836,279,2453,3289
SULLIVAN HS,708,489,219,1359,1848
JULIAN HS,1057,230,827,633,863
FARRAGUT HS,1100,930,170,2367,3297
SCHURZ HS,2379,1450,929,3645,5095
KELVYN PARK HS,890,613,277,1504,2117
LAKE VIEW HS,1436,310,1126,757,1067
SENN HS,1162,751,411,1724,2475
FOREMAN HS,1507,1201,306,2328,3529
MORGAN PARK HS,1431,635,796,1108,1743
AMUNDSEN HS,1266,384,882,664,1048
STEINMETZ HS,1809,1581,228,2657,4238
ROOSEVELT HS,1437,1071,366,1710,2781
KELLY HS,2537,1943,594,2311,4254
MATHER HS,1623,1321,302,1497,2818
NORTH-GRAND HS,910,556,354,547,1103
JUAREZ HS,1684,998,686,852,1850
SOLORIO HS,1068,926,142,727,1653
LINCOLN PARK HS,2230,732,1498,560,1292
HANCOCK HS,928,429,499,310,739
KENWOOD HS,1814,611,1203,435,1046
HUBBARD HS,1615,1236,379,847,2083
TAFT HS,3195,2594,601,1680,4274
CURIE HS,2982,1518,1464,905,2423
KENNEDY HS,1506,1208,298,714,1922
WASHINGTON HS,1563,1360,203,728,2088
