For High Schools
CTE_Neighborhood,Neighborhood
NA,Neighborhood
Selective_Enrollment,Selective Enrollment
IB,IB Diploma
AVID,Non admission program
JROTC,Non admission program
Magnet,Magnet High School
Magnet_Cluster,Magnet Program
CTE_CCA,CTE - College and Career Academies
IB_Wall_to_Wall,IB Wall to Wall
CTE_IBCC
Military,Military
ECSS,Early College STEM Schools (non admission)


