SchoolID,SchoolName,FullName,SchoolName2,ISBE Name,Street Number,Street Direction,Street Name,City,State,ZIP,NCES ID,CPS Unit,ISBE ID,OracleID,Class,School Type,S_Type,School Category,Governance,Charter Type,Grade Structure,Attending Grades,ProgramTypes,Ward,Community Area Number,Community Area,IL Senate District,IL Rep District,US Congressional District,GeographicArea,Geographic Area Number,Cook County District,Census Block,Latitude,Longitude,Location
609753,Chgo Agr,Chicago High School for Agricultural Sciences,Chgo Agr,Chicago for Agricult Sciences,3857,W,111th St,Chicago,IL,60655,170993005147,1790,150162990250772,47091,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Magnet||CTE_Neighborhood||,19,74,Mount Greenwood,18,35,1,Beverly,3,11,170317404003008,41.8643649233,-87.6687589328,"(41.8643649233, -87.6687589328)"
400022,Chgo Arts Contr,Chicago High School for the Arts,Chgo Arts Contr,Chicago for the Arts,521,E,35th St,Chicago,IL,60616i,170993006058,8047,150162990250851,63051,CPS,Contract,Contract,HS,Contract,0,HS,9th-12th,NA||,4,35,Douglas,13,26,1,Bronzeville,15,3,170313510002005,41.8311449728,-87.6136286803,"(41.8311449727999, -87.6136286802999)"
609754,Chgo Military Acad,Chicago Military Academy High School,Chgo Military Acad,Chicago Military Academy,3519,S,Giles Ave,Chicago,IL,60653,170993003487,1800,150162990250795,70070,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Military||,2,35,Douglas,3,5,1,Bronzeville,15,3,170318396002000,41.8136749838,-87.6039105379,"(41.8136749837999, -87.6039105379)"
400093,Chgo Talent ,Chicago Talent Development,Chgo Talent Chtr,Chicago Talent Dev High School,2245,W,Jackson Blvd,Chicago,IL,60612,170993006075,8053,15016299025014C,63111,CPS,Charter,Charter,HS,Charter,Non-replicating  Charters,HS,9th-12th,NA||,2,28,Near West Side,5,9,7,Near West,23,2,170318380001026,41.8775287339,-87.6832489542,"(41.8775287339, -87.6832489541999)"
400147,Chicago Excel Contr Acad,Chicago Excel Academy,Chicago Excel Contr Acad,Chicago Excel Acad,1269,W,111th St,Chicago,IL,60643,170993006219,9066,150162990250862,63141,Option,Contract,Alternative/Contract,HS,Contract,0,HS,10th-12th,NA||,34,75,Morgan Park,14,27,1,Far South Side,22,4,170317506003001,41.692157642,-87.6544645335,"(41.6921576419999, -87.6544645335)"
400091,Chicago Tech Academy,Chicago Technology Academy High School,Chicago Tech Academy,Chicago Technology Academy,1301,W,14th St,Chicago,IL,60608,170993006076,8022,150162990250850,63091,CPS,Contract,Contract,HS,Contract,0,HS,9th-12th,NA||,2,28,Near West Side,5,9,7,Near West,23,2,170318429003010,41.8633288357,-87.6590960191,"(41.8633288357, -87.6590960191)"
609674,Chicago Vocational,Chicago Vocational Career Academy High School,Chicago Vocational,Chicago Vocational Career Acad,2100,E,87th St,Chicago,IL,60617,170993000943,1010,150162990250526,53011,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,CTE_CCA||ECSS||JROTC||STEM||,8,45,Avalon Park,17,33,2,Chatham,12,4,170314503003005,41.8459653309,-87.68554722,"(41.8459653309, -87.68554722)"
400032,Cics - Ellison,Chicago Intl Charter - Ralph Ellison,Cics - Ellison,Chicago International Charter,1817,W,80th St,Chicago,IL,60620,170993003505,4911,15016299025201C,66072,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,HS,9th-12th,NA||,18,71,Auburn Gresham,16,31,1,Auburn Gresham,5,3,170317105003002,41.7484098473,-87.6689802311,"(41.7484098473, -87.6689802310999)"
400033,Cics - Longwood,Chicago Intl Charter - Longwood,Cics - Longwood,Chicago International Charter,1309,W,95th St,Chicago,IL,60643,170993003505,2420,15016299025201C,66061,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,HS,9th-12th,NA||,21,73,Washington Heights,14,27,1,Auburn Gresham,5,4,170317304002001,41.7212488715,-87.6557687539,"(41.7212488715, -87.6557687539)"
400034,Cics - Northtown,Chicago Intl Charter - Northtown,Cics - Northtown,Chicago International Charter,3900,W,Peterson Ave,Chicago,IL,60659,170993003505,7740,15016299025201C,66241,CPS,Charter,Charter,HS,Charter,Original Replicating Charters,HS,9th-12th,NA||,39,13,North Park,8,15,5,Albany Irving,27,10,170311301002003,41.990217574,-87.7265036636,"(41.9902175739999, -87.7265036635999)"
610244,Clark,Michele Clark Academic Prep Magnet High School,Clark,Clark Acad Prep Magnet High Schl,5101,W,Harrison St,Chicago,IL,60644,170993001210,6620,150162990250827,41051,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,Magnet||ECSS||STEM||,24,25,Austin,4,8,7,Austin,25,2,170318314001006,41.8023431427,-87.6721697288,"(41.8023431427, -87.6721697288)"
609759,Clemente,Roberto Clemente Community Academy High School,Clemente,Clemente Community Academy,1147,N,Western Ave,Chicago,IL,60622,170993001086,1840,150162990250545,51091,CPS,Regular,"District, non-alternative",HS,District,,HS,9th-12th,IB_Wall_to_Wall||JROTC||CTE_IBCC||,1,24,West Town,2,4,5,Humboldt Park,21,12,170312424001001,41.8786020833,-87.6642700568,"(41.8786020833, -87.6642700568)"
